id,mon,s,t
952,"7,1,95,1",8,89
953,"0,1,7,1,92,1",7,89
954,"0,1,2,1,131,1",7,89
955,"0,1,13,1,69,1",6,89
956,"0,1,142,1",5,89
957,"0,1,143,1",4,89
958,"0,90",90,90
959,"0,2,140,1",31,90
960,"145,1",28,90
961,"0,26,69,1",27,90
962,"8,2,49,1",24,90
963,"8,2,50,1",23,90
964,"16,1,17,2",22,90
965,"8,1,88,1",21,90
966,"0,3,137,1",21,90
967,"8,5",20,90
968,"0,3,138,1",20,90
969,"8,3,22,1",19,90
970,"146,1",18,90
971,"8,3,23,1",18,90
972,"147,1",17,90
973,"8,2,51,1",17,90
974,"8,1,13,3",16,90
975,"13,2,32,1",15,90
976,"13,2,33,1",14,90
977,"8,1,89,1",14,90
978,"9,1,80,1",13,90
979,"0,6,128,1",13,90
980,"0,2,141,1",12,90
981,"1,1,141,1",11,90
982,"14,1,69,1",10,90
983,"3,1,120,1",9,90
984,"3,1,121,1",8,90
985,"0,2,7,1,92,1",8,90
986,"1,1,7,1,92,1",7,90
987,"0,2,13,1,69,1",7,90
988,"1,1,13,1,69,1",6,90
989,"0,2,142,1",6,90
990,"2,1,11,1,69,1",5,90
991,"1,1,142,1",5,90
992,"0,2,143,1",5,90
993,"1,1,143,1",4,90
994,"0,91",91,91
995,"0,1,145,1",29,91
996,"0,27,69,1",28,91
997,"0,1,8,2,49,1",25,91
998,"0,1,8,2,50,1",24,91
999,"0,4,137,1",22,91
1000,"0,4,138,1",21,91
1001,"1,2,137,1",20,91
1002,"0,1,146,1",19,91
1003,"0,1,147,1",18,91
1004,"0,1,8,1,89,1",15,91
1005,"0,1,9,1,80,1",14,91
1006,"0,7,128,1",14,91
1007,"1,1,144,1",13,91
1008,"0,3,141,1",13,91
1009,"13,1,75,1",10,91
1010,"0,1,3,1,120,1",10,91
1011,"13,1,76,1",9,91
1012,"0,3,142,1",7,91
1013,"148,1",6,91
1014,"0,3,143,1",6,91
1015,"4,1,7,1,69,1",5,91
1016,"0,92",92,92
1017,"0,2,145,1",30,92
1018,"1,1,145,1",29,92
1019,"0,28,69,1",29,92
1020,"0,2,8,2,49,1",26,92
1021,"0,2,8,2,50,1",25,92
1022,"0,5,137,1",23,92
1023,"0,5,138,1",22,92
1024,"0,2,146,1",20,92
1025,"0,2,147,1",19,92
1026,"149,1",16,92
1027,"0,2,9,1,80,1",15,92
1028,"150,1",13,92
1029,"151,1",12,92
1030,"1,1,14,1,69,1",11,92
1031,"0,1,13,1,75,1",11,92
1032,"15,1,69,1",10,92
1033,"0,4,142,1",8,92
1034,"0,4,143,1",7,92
1035,"2,1,13,1,69,1",6,92
1036,"1,2,142,1",6,92
1037,"1,2,143,1",5,92
1038,"0,93",93,93
1039,"0,29,69,1",30,93
1040,"152,1",28,93
1041,"153,1",27,93
1042,"8,2,55,1",24,93
1043,"0,6,137,1",24,93
1044,"8,2,56,1",23,93
1045,"0,6,138,1",23,93
1046,"8,1,17,1,40,1",22,93
1047,"8,1,100,1",21,93
1048,"0,3,146,1",21,93
1049,"8,4,9,1",20,93
1050,"8,3,29,1",19,93
1051,"16,1,64,1",18,93
1052,"8,2,9,1,23,1",18,93
1053,"17,1,64,1",17,93
1054,"8,1,9,1,51,1",17,93
1055,"0,1,149,1",17,93
1056,"154,1",16,93
1057,"9,1,13,3",16,93
1058,"8,1,101,1",14,93
1059,"13,1,80,1",13,93
1060,"155,1",12,93
1061,"0,1,15,1,69,1",11,93
1062,"1,1,13,1,76,1",10,93
1063,"2,1,7,1,95,1",9,93
1064,"0,5,143,1",8,93
1065,"1,1,148,1",7,93
1066,"0,1,2,1,13,1,69,1",7,93
1067,"1,1,4,1,7,1,69,1",6,93
1068,"0,94",94,94
1069,"0,30,69,1",31,94
1070,"1,2,145,1",30,94
1071,"0,1,152,1",29,94
1072,"0,1,153,1",28,94
1073,"0,7,137,1",25,94
1074,"0,7,138,1",24,94
1075,"0,1,16,1,64,1",19,94
1076,"0,1,17,1,64,1",18,94
1077,"0,2,149,1",18,94
1078,"1,1,149,1",17,94
1079,"0,1,154,1",17,94
1080,"0,1,8,1,101,1",15,94
1081,"156,1",14,94
1082,"0,1,13,1,80,1",14,94
1083,"0,1,155,1",13,94
1084,"13,1,83,1",12,94
1085,"0,2,15,1,69,1",12,94
1086,"9,1,95,1",11,94
1087,"157,1",10,94
1088,"16,1,69,1",9,94
1089,"17,1,69,1",8,94
1090,"158,1",7,94
1091,"0,95",95,95
1092,"0,31,69,1",32,95
1093,"159,1",31,95
1094,"0,2,152,1",30,95
1095,"0,2,153,1",29,95
1096,"0,8,137,1",26,95
1097,"0,8,138,1",25,95
1098,"0,2,16,1,64,1",20,95
1099,"0,2,17,1,64,1",19,95
1100,"0,3,149,1",19,95
1101,"0,2,154,1",18,95
1102,"160,1",16,95
1103,"0,2,13,1,80,1",15,95
1104,"0,1,16,1,69,1",10,95
1105,"0,1,17,1,69,1",9,95
1106,"0,96",96,96
1107,"0,3,152,1",31,96
1108,"8,1,110,1",28,96
1109,"8,1,111,1",27,96
1110,"161,1",25,96
1111,"8,3,31,1",24,96
1112,"8,2,16,1,17,1",23,96
1113,"8,2,17,2",22,96
1114,"8,2,60,1",21,96
1115,"8,4,13,1",20,96
1116,"0,4,149,1",20,96
1117,"8,3,32,1",19,96
1118,"0,3,154,1",19,96
1119,"8,1,112,1",18,96
1120,"8,2,13,1,23,1",18,96
1121,"1,2,149,1",18,96
1122,"8,1,113,1",17,96
1123,"8,1,13,1,51,1",17,96
1124,"0,1,160,1",17,96
1125,"162,1",16,96
1126,"13,4",16,96
1127,"13,1,23,1,24,1",15,96
1128,"1,1,156,1",15,96
1129,"9,1,101,1",14,96
1130,"2,1,150,1",14,96
1131,"2,1,151,1",13,96
1132,"1,1,157,1",11,96
1133,"0,2,16,1,69,1",11,96
1134,"1,1,16,1,69,1",10,96
1135,"0,2,17,1,69,1",10,96
1136,"7,2,67,1",9,96
1137,"7,2,68,1",8,96
1138,"1,1,158,1",8,96
1139,"2,2,13,1,69,1",7,96
1140,"163,1",4,96
1141,"7,2,69,1",3,96
1142,"0,97",97,97
1143,"1,1,159,1",32,97
1144,"0,1,8,1,110,1",29,97
1145,"0,1,8,1,111,1",28,97
1146,"0,5,149,1",21,97
1147,"0,4,154,1",20,97
1148,"0,1,8,1,112,1",19,97
1149,"0,1,8,1,113,1",18,97
1150,"0,2,160,1",18,97
1151,"0,1,162,1",17,97
1152,"13,1,95,1",11,97
1153,"0,3,17,1,69,1",11,97
1154,"164,1",10,97
1155,"19,1,69,1",9,97
1156,"0,1,7,2,68,1",9,97
1157,"20,1,69,1",8,97
1158,"7,2,70,1",6,97
1159,"0,1,163,1",5,97
1160,"0,1,7,2,69,1",4,97
1161,"0,98",98,98
1162,"165,1",33,98
1163,"0,2,8,1,110,1",30,98
1164,"0,2,8,1,111,1",29,98
1165,"1,1,161,1",26,98
1166,"0,6,149,1",22,98
1167,"0,5,154,1",21,98
1168,"0,2,8,1,112,1",20,98
1169,"0,2,8,1,113,1",19,98
1170,"0,3,160,1",19,98
1171,"166,1",16,98
1172,"167,1",15,98
1173,"168,1",14,98
1174,"169,1",13,98
1175,"170,1",12,98
1176,"0,4,17,1,69,1",12,98
1177,"1,2,16,1,69,1",11,98
1178,"0,1,19,1,69,1",10,98
1179,"0,1,20,1,69,1",9,98
1180,"0,2,163,1",6,98
1181,"1,1,163,1",5,98
1182,"0,2,7,2,69,1",5,98
1183,"1,1,7,2,69,1",4,98
1184,"0,99",99,99
1185,"8,1,116,1",28,99
1186,"8,1,117,1",27,99
1187,"17,1,78,1",26,99
1188,"171,1",25,99
1189,"8,3,39,1",24,99
1190,"8,3,40,1",23,99
1191,"8,2,17,1,20,1",22,99
1192,"8,2,63,1",21,99
1193,"8,3,9,1,13,1",20,99
1194,"8,2,9,1,32,1",19,99
1195,"8,1,9,1,13,1,23,1",18,99
1196,"8,2,64,1",18,99
1197,"9,1,13,1,51,1",17,99
1198,"8,1,118,1",17,99
1199,"0,1,166,1",17,99
1200,"17,1,80,1",16,99
1201,"0,1,167,1",16,99
1202,"173,1",15,99
1203,"172,1",15,99
1204,"13,1,101,1",14,99
1205,"0,1,169,1",14,99
1206,"0,5,17,1,69,1",13,99
1207,"21,1,69,1",12,99
1208,"0,2,19,1,69,1",11,99
1209,"0,2,20,1,69,1",10,99
1210,"174,1",8,99
1211,"1,1,7,2,70,1",7,99
1212,"0,3,163,1",7,99
1213,"0,3,7,2,69,1",6,99
1214,"0,100",100,100
1215,"1,1,165,1",34,100
1216,"175,1",33,100
1217,"0,1,8,1,116,1",29,100
1218,"0,1,8,1,117,1",28,100
1219,"0,1,17,1,78,1",27,100
1220,"0,1,8,2,64,1",19,100
1221,"0,1,8,1,118,1",18,100
1222,"0,2,166,1",18,100
1223,"0,1,17,1,80,1",17,100
1224,"0,2,167,1",17,100
1225,"0,1,172,1",16,100
1226,"1,1,168,1",15,100
1227,"0,2,169,1",15,100
1228,"176,1",14,100
1229,"1,1,169,1",14,100
1230,"13,1,105,1",13,100
1231,"1,1,170,1",13,100
1232,"177,1",12,100
1233,"13,1,107,1",12,100
1234,"0,3,19,1,69,1",12,100
1235,"178,1",11,100
1236,"179,1",10,100
1237,"8,2,69,1",9,100
1238,"0,1,174,1",9,100
1239,"22,1,69,1",8,100
1240,"0,4,163,1",8,100
1241,"23,1,69,1",7,100
1242,"24,1,69,1",6,100
1243,"1,2,163,1",6,100
1244,"25,1,69,1",5,100
1245,"2,1,163,1",5,100
1246,"0,101",101,101
1247,"0,1,175,1",34,101
1248,"0,2,8,1,116,1",30,101
1249,"0,2,8,1,117,1",29,101
1250,"5,1,137,1",23,101
1251,"0,2,8,2,64,1",20,101
1252,"0,2,8,1,118,1",19,101
1253,"0,3,167,1",18,101
1254,"0,2,172,1",17,101
1255,"180,1",16,101
1256,"1,1,172,1",16,101
1257,"0,3,169,1",16,101
1258,"0,1,176,1",15,101
1259,"1,1,21,1,69,1",13,101
1260,"0,1,177,1",13,101
1261,"0,1,178,1",12,101
1262,"0,1,179,1",11,101
1263,"0,1,8,2,69,1",10,101
1264,"1,1,174,1",9,101
1265,"0,1,22,1,69,1",9,101
1266,"0,5,163,1",9,101
1267,"181,1",8,101
1268,"0,1,23,1,69,1",8,101
1269,"0,1,2,1,163,1",6,101
1270,"26,1,69,1",5,101
1271,"0,102",102,102
1272,"0,2,175,1",35,102
1273,"182,1",32,102
1274,"183,1",31,102
1275,"8,2,71,1",28,102
1276,"8,1,16,1,50,1",27,102
1277,"8,1,17,1,50,1",26,102
1278,"8,1,125,1",25,102
1279,"8,4,16,1",24,102
1280,"8,4,17,1",23,102
1281,"184,1",22,102
1282,"8,2,16,1,23,1",22,102
1283,"185,1",21,102
1284,"8,3,42,1",21,102
1285,"8,3,13,2",20,102
1286,"8,2,13,1,32,1",19,102
1287,"0,4,167,1",19,102
1288,"8,1,13,2,23,1",18,102
1289,"8,2,72,1",18,102
1290,"0,3,172,1",18,102
1291,"13,2,51,1",17,102
1292,"8,1,127,1",17,102
1293,"0,4,169,1",17,102
1294,"20,1,80,1",16,102
1295,"13,2,52,1",16,102
1296,"0,2,176,1",16,102
1297,"186,1",15,102
1298,"1,1,176,1",15,102
1299,"27,1,69,1",14,102
1300,"0,2,177,1",14,102
1301,"0,2,178,1",13,102
1302,"187,1",12,102
1303,"188,1",11,102
1304,"0,2,8,2,69,1",11,102
1305,"189,1",10,102
1306,"0,2,22,1,69,1",10,102
1307,"0,2,23,1,69,1",9,102
1308,"190,1",8,102
1309,"191,1",7,102
1310,"28,1,69,1",7,102
1311,"0,1,26,1,69,1",6,102
1312,"0,103",103,103
1313,"0,1,182,1",33,103
1314,"0,1,183,1",32,103
1315,"0,1,8,2,71,1",29,103
1316,"0,1,8,1,16,1,50,1",28,103
1317,"1,1,5,1,137,1",24,103
1318,"0,1,184,1",23,103
1319,"0,1,185,1",22,103
1320,"0,5,167,1",20,103
1321,"0,1,8,2,72,1",19,103
1322,"0,4,172,1",19,103
1323,"0,1,8,1,127,1",18,103
1324,"0,5,169,1",18,103
1325,"0,1,20,1,80,1",17,103
1326,"0,3,176,1",17,103
1327,"0,1,187,1",13,103
1328,"23,1,75,1",12,103
1329,"0,1,188,1",12,103
1330,"23,1,76,1",11,103
1331,"0,1,189,1",11,103
1332,"192,1",10,103
1333,"1,2,174,1",10,103
1334,"0,3,23,1,69,1",10,103
1335,"8,1,9,1,69,1",9,103
1336,"1,1,181,1",9,103
1337,"0,1,190,1",9,103
1338,"29,1,69,1",8,103
1339,"0,1,191,1",8,103
1340,"0,104",104,104
1341,"0,2,182,1",34,104
1342,"1,1,182,1",33,104
1343,"0,2,183,1",33,104
1344,"0,2,8,2,71,1",30,104
1345,"0,2,8,1,16,1,50,1",29,104
1346,"0,2,184,1",24,104
1347,"0,2,185,1",23,104
1348,"0,5,172,1",20,104
1349,"0,2,8,1,127,1",19,104
1350,"193,1",17,104
1351,"194,1",16,104
1352,"1,1,27,1,69,1",15,104
1353,"30,1,69,1",14,104
1354,"0,2,187,1",14,104
1355,"1,1,187,1",13,104
1356,"0,2,188,1",13,104
1357,"195,1",12,104
1358,"0,2,189,1",12,104
1359,"1,1,189,1",11,104
1360,"0,4,23,1,69,1",11,104
1361,"196,1",10,104
1362,"0,1,8,1,9,1,69,1",10,104
1363,"0,2,190,1",10,104
1364,"1,1,190,1",9,104
1365,"0,1,29,1,69,1",9,104
1366,"197,1",8,104
1367,"1,1,28,1,69,1",8,104
1368,"198,1",7,104
1369,"2,1,24,1,69,1",7,104
1370,"2,1,25,1,69,1",6,104
1371,"3,1,163,1",5,104
1372,"7,1,143,1",4,104
1373,"0,105",105,105
1374,"0,3,183,1",34,105
1375,"199,1",32,105
1376,"200,1",31,105
1377,"8,2,77,1",28,105
1378,"8,2,78,1",27,105
1379,"8,1,17,1,56,1",26,105
1380,"8,1,136,1",25,105
1381,"0,3,184,1",25,105
1382,"8,4,19,1",24,105
1383,"8,4,20,1",23,105
1384,"8,1,137,1",22,105
1385,"8,3,45,1",22,105
1386,"8,1,138,1",21,105
1387,"8,3,46,1",21,105
1388,"8,2,9,1,13,2",20,105
1389,"8,1,9,1,13,1,32,1",19,105
1390,"9,1,13,2,23,1",18,105
1391,"8,2,79,1",18,105
1392,"8,2,80,1",17,105
1393,"22,1,80,1",16,105
1394,"23,1,80,1",15,105
1395,"0,1,30,1,69,1",15,105
1396,"0,3,187,1",15,105
1397,"0,3,188,1",14,105
1398,"0,1,195,1",13,105
1399,"201,1",12,105
1400,"0,5,23,1,69,1",12,105
1401,"1,1,192,1",11,105
1402,"0,2,8,1,9,1,69,1",11,105
1403,"202,1",10,105
1404,"0,2,29,1,69,1",10,105
1405,"2,1,181,1",9,105
1406,"0,1,197,1",9,105
1407,"0,1,198,1",8,105
1408,"0,1,3,1,163,1",6,105
1409,"0,1,7,1,143,1",5,105
1410,"0,106",106,106
1411,"0,4,183,1",35,106
1412,"1,2,182,1",34,106
1413,"0,1,199,1",33,106
1414,"0,1,200,1",32,106
1415,"0,1,8,1,137,1",23,106
1416,"0,1,8,1,138,1",22,106
1417,"5,1,149,1",21,106
1418,"0,1,8,2,79,1",19,106
1419,"1,1,193,1",18,106
1420,"0,1,8,2,80,1",18,106
1421,"0,2,30,1,69,1",16,106
1422,"0,4,187,1",16,106
1423,"0,4,188,1",15,106
1424,"23,1,83,1",14,106
1425,"1,2,187,1",14,106
1426,"0,2,195,1",14,106
1427,"31,1,69,1",13,106
1428,"9,1,133,1",13,106
1429,"1,1,195,1",13,106
1430,"0,1,201,1",13,106
1431,"2,1,188,1",12,106
1432,"1,2,189,1",12,106
1433,"2,1,189,1",11,106
1434,"0,1,202,1",11,106
1435,"0,2,197,1",10,106
1436,"8,1,13,1,69,1",9,106
1437,"0,2,198,1",9,106
1438,"32,1,69,1",8,106
1439,"2,1,191,1",8,106
1440,"204,1",7,106
1441,"203,1",7,106
1442,"33,1,69,1",7,106
1443,"34,1,69,1",6,106
1444,"0,2,7,1,143,1",6,106
1445,"35,1,69,1",5,106
1446,"0,107",107,107
1447,"0,5,183,1",36,107
1448,"205,1",35,107
1449,"0,2,199,1",34,107
1450,"0,2,200,1",33,107
1451,"0,2,8,1,137,1",24,107
1452,"0,2,8,1,138,1",23,107
1453,"206,1",20,107
1454,"0,2,8,2,80,1",19,107
1455,"207,1",18,107
1456,"208,1",17,107
1457,"0,5,187,1",17,107
1458,"0,5,188,1",16,107
1459,"0,1,31,1,69,1",14,107
1460,"0,2,201,1",14,107
1461,"0,1,2,1,188,1",13,107
1462,"209,1",10,107
1463,"0,1,8,1,13,1,69,1",10,107
1464,"3,1,174,1",9,107
1465,"0,1,32,1,69,1",9,107
1466,"0,1,203,1",8,107
1467,"0,1,34,1,69,1",7,107
1468,"0,108",108,108
1469,"0,3,199,1",35,108
1470,"8,1,145,1",32,108
1471,"16,1,111,1",31,108
1472,"17,1,111,1",30,108
1473,"211,1",29,108
1474,"210,1",29,108
1475,"8,3,49,1",28,108
1476,"8,3,50,1",27,108
1477,"8,1,16,1,17,2",26,108
1478,"8,2,88,1",25,108
1479,"8,6",24,108
1480,"8,4,22,1",23,108
1481,"8,1,146,1",22,108
1482,"8,4,23,1",22,108
1483,"1,1,5,1,149,1",22,108
1484,"8,1,147,1",21,108
1485,"8,3,51,1",21,108
1486,"0,1,206,1",21,108
1487,"17,1,113,1",20,108
1488,"8,2,13,3",20,108
1489,"8,1,13,2,32,1",19,108
1490,"0,1,207,1",19,108
1491,"13,3,23,1",18,108
1492,"8,2,89,1",18,108
1493,"0,6,187,1",18,108
1494,"13,3,24,1",17,108
1495,"8,1,9,1,80,1",17,108
1496,"0,6,188,1",17,108
1497,"23,1,89,1",16,108
1498,"0,2,31,1,69,1",15,108
1499,"0,3,201,1",15,108
1500,"1,1,31,1,69,1",14,108
1501,"2,1,195,1",13,108
1502,"212,1",12,108
1503,"3,1,178,1",12,108
1504,"0,1,209,1",11,108
1505,"0,2,8,1,13,1,69,1",11,108
1506,"0,1,3,1,174,1",10,108
1507,"0,2,32,1,69,1",10,108
1508,"213,1",9,108
1509,"0,2,203,1",9,108
1510,"2,1,198,1",8,108
1511,"1,1,203,1",8,108
1512,"1,1,33,1,69,1",8,108
1513,"0,2,34,1,69,1",8,108
1514,"214,1",7,108
1515,"36,1,69,1",7,108
1516,"1,1,34,1,69,1",7,108
1517,"1,1,35,1,69,1",6,108
1518,"37,1,69,1",5,108
1519,"38,1,69,1",4,108
1520,"0,109",109,109
1521,"1,1,205,1",36,109
1522,"0,1,8,1,145,1",33,109
1523,"0,1,16,1,111,1",32,109
1524,"0,1,17,1,111,1",31,109
1525,"0,1,210,1",30,109
1526,"0,1,8,1,146,1",23,109
1527,"0,1,8,1,147,1",22,109
1528,"0,2,206,1",22,109
1529,"0,1,17,1,113,1",21,109
1530,"0,7,187,1",19,109
1531,"0,7,188,1",18,109
1532,"215,1",15,109
1533,"0,1,2,1,195,1",14,109
1534,"39,1,69,1",13,109
1535,"13,1,133,1",13,109
1536,"0,1,212,1",13,109
1537,"40,1,69,1",12,109
1538,"13,1,134,1",12,109
1539,"0,2,209,1",12,109
1540,"2,1,202,1",11,109
1541,"1,1,209,1",11,109
1542,"2,2,181,1",10,109
1543,"0,3,203,1",10,109
1544,"9,1,13,1,69,1",9,109
1545,"3,1,181,1",9,109
1546,"0,3,34,1,69,1",9,109
1547,"216,1",8,109
1548,"0,1,36,1,69,1",8,109
1549,"0,1,37,1,69,1",6,109
1550,"0,1,38,1,69,1",5,109
1551,"0,110",110,110
1552,"217,1",37,110
1553,"0,2,8,1,145,1",34,110
1554,"0,2,16,1,111,1",33,110
1555,"0,2,17,1,111,1",32,110
1556,"0,2,210,1",31,110
1557,"1,1,210,1",30,110
1558,"0,2,8,1,146,1",24,110
1559,"0,2,8,1,147,1",23,110
1560,"0,3,206,1",23,110
1561,"8,1,149,1",20,110
1562,"0,8,188,1",19,110
1563,"218,1",18,110
1564,"219,1",17,110
1565,"220,1",16,110
1566,"1,2,31,1,69,1",15,110
1567,"0,1,39,1,69,1",14,110
1568,"0,2,212,1",14,110
1569,"1,1,212,1",13,110
1570,"0,1,40,1,69,1",13,110
1571,"0,3,209,1",13,110
1572,"3,1,188,1",12,110
1573,"2,2,189,1",12,110
1574,"3,1,189,1",11,110
1575,"221,1",10,110
1576,"1,1,213,1",10,110
1577,"0,4,34,1,69,1",10,110
1578,"3,1,190,1",9,110
1579,"1,2,203,1",9,110
1580,"0,1,216,1",9,110
1581,"0,2,36,1,69,1",9,110
1582,"3,1,191,1",8,110
1583,"1,1,214,1",8,110
1584,"1,1,36,1,69,1",8,110
1585,"222,1",7,110
1586,"0,2,37,1,69,1",7,110
1587,"0,2,38,1,69,1",6,110
1588,"0,111",111,111
1589,"0,3,17,1,111,1",33,111
1590,"8,1,152,1",32,111
1591,"0,3,210,1",32,111
1592,"8,1,153,1",31,111
1593,"17,1,117,1",30,111
1594,"223,1",29,111
1595,"8,3,55,1",28,111
1596,"8,3,56,1",27,111
1597,"224,1",26,111
1598,"8,2,17,1,40,1",26,111
1599,"225,1",25,111
1600,"8,2,100,1",25,111
1601,"8,5,9,1",24,111
1602,"8,4,29,1",23,111
1603,"8,1,16,1,64,1",22,111
1604,"8,3,9,1,23,1",22,111
1605,"8,1,17,1,64,1",21,111
1606,"8,2,9,1,51,1",21,111
1607,"0,1,8,1,149,1",21,111
1608,"8,1,154,1",20,111
1609,"8,1,9,1,13,3",20,111
1610,"42,1,64,1",19,111
1611,"9,1,13,2,32,1",19,111
1612,"8,2,101,1",18,111
1613,"8,1,13,1,80,1",17,111
1614,"41,1,69,1",16,111
1615,"23,1,101,1",16,111
1616,"1,1,215,1",16,111
1617,"226,1",15,111
1618,"0,2,39,1,69,1",15,111
1619,"0,2,40,1,69,1",14,111
1620,"0,4,209,1",14,111
1621,"0,1,3,1,188,1",13,111
1622,"1,2,209,1",12,111
1623,"0,1,3,1,189,1",12,111
1624,"2,1,209,1",11,111
1625,"0,1,221,1",11,111
1626,"0,5,34,1,69,1",11,111
1627,"0,2,216,1",10,111
1628,"0,3,36,1,69,1",10,111
1629,"0,1,3,1,191,1",9,111
1630,"0,112",112,112
1631,"1,1,217,1",38,112
1632,"227,1",37,112
1633,"0,4,17,1,111,1",34,112
1634,"0,1,8,1,152,1",33,112
1635,"0,4,210,1",33,112
1636,"0,1,8,1,153,1",32,112
1637,"0,1,17,1,117,1",31,112
1638,"0,1,224,1",27,112
1639,"0,1,225,1",26,112
1640,"0,1,8,1,16,1,64,1",23,112
1641,"0,1,8,1,17,1,64,1",22,112
1642,"0,2,8,1,149,1",22,112
1643,"0,1,8,1,154,1",21,112
1644,"0,1,226,1",16,112
1645,"13,2,67,1",15,112
1646,"0,5,209,1",15,112
1647,"228,1",14,112
1648,"9,1,13,1,75,1",14,112
1649,"0,2,3,1,188,1",14,112
1650,"3,1,195,1",13,112
1651,"2,1,212,1",13,112
1652,"0,2,3,1,189,1",13,112
1653,"8,1,17,1,69,1",12,112
1654,"1,1,3,1,189,1",12,112
1655,"0,2,221,1",12,112
1656,"229,1",11,112
1657,"43,1,67,1",11,112
1658,"0,3,216,1",11,112
1659,"43,1,68,1",10,112
1660,"42,1,69,1",10,112
1661,"1,1,3,1,190,1",10,112
1662,"3,1,197,1",9,112
1663,"3,1,198,1",8,112
1664,"230,1",7,112
1665,"231,1",6,112
1666,"7,1,163,1",5,112
1667,"0,113",113,113
1668,"0,1,227,1",38,113
1669,"0,5,17,1,111,1",35,113
1670,"0,2,8,1,152,1",34,113
1671,"0,5,210,1",34,113
1672,"0,2,8,1,153,1",33,113
1673,"0,2,224,1",28,113
1674,"1,1,224,1",27,113
1675,"0,2,225,1",27,113
1676,"0,2,8,1,16,1,64,1",24,113
1677,"0,2,8,1,17,1,64,1",23,113
1678,"8,1,160,1",20,113
1679,"1,1,42,1,64,1",20,113
1680,"232,1",19,113
1681,"233,1",18,113
1682,"1,1,41,1,69,1",17,113
1683,"0,2,226,1",17,113
1684,"0,6,209,1",16,113
1685,"0,3,3,1,188,1",15,113
1686,"0,1,3,1,195,1",14,113
1687,"0,1,2,1,212,1",14,113
1688,"234,1",13,113
1689,"0,1,8,1,17,1,69,1",13,113
1690,"0,3,221,1",13,113
1691,"0,1,43,1,67,1",12,113
1692,"0,1,43,1,68,1",11,113
1693,"0,1,3,1,197,1",10,113
1694,"235,1",9,113
1695,"0,1,3,1,198,1",9,113
1696,"0,1,230,1",8,113
1697,"0,1,7,1,163,1",6,113
1698,"0,114",114,114
1699,"0,2,227,1",39,114
1700,"236,1",36,114
1701,"0,6,210,1",35,114
1702,"8,2,110,1",32,114
1703,"8,2,111,1",31,114
1704,"16,1,17,1,50,1",30,114
1705,"8,1,161,1",29,114
1706,"0,3,224,1",29,114
1707,"8,4,31,1",28,114
1708,"0,3,225,1",28,114
1709,"8,3,16,1,17,1",27,114
1710,"237,1",26,114
1711,"8,3,17,2",26,114
1712,"238,1",25,114
1713,"8,3,60,1",25,114
1714,"8,5,13,1",24,114
1715,"8,4,32,1",23,114
1716,"8,2,112,1",22,114
1717,"8,3,13,1,23,1",22,114
1718,"8,2,113,1",21,114
1719,"8,2,13,1,51,1",21,114
1720,"8,1,162,1",20,114
1721,"8,1,13,4",20,114
1722,"23,1,113,1",19,114
1723,"13,3,32,1",19,114
1724,"13,3,33,1",18,114
1725,"8,1,9,1,101,1",18,114
1726,"9,1,13,1,80,1",17,114
1727,"0,2,3,1,195,1",15,114
1728,"0,2,8,1,17,1,69,1",14,114
1729,"0,2,43,1,67,1",13,114
1730,"0,2,43,1,68,1",12,114
1731,"1,1,42,1,69,1",11,114
1732,"0,1,235,1",10,114
1733,"239,1",9,114
1734,"3,1,203,1",8,114
1735,"240,1",7,114
1736,"0,2,7,1,163,1",7,114
1737,"241,1",6,114
1738,"1,1,7,1,163,1",6,114
1739,"242,1",5,114
1740,"0,115",115,115
1741,"0,1,236,1",37,115
1742,"0,7,210,1",36,115
1743,"0,1,8,2,110,1",33,115
1744,"0,1,8,2,111,1",32,115
1745,"0,4,224,1",30,115
1746,"0,4,225,1",29,115
1747,"1,2,224,1",28,115
1748,"0,1,237,1",27,115
1749,"0,1,238,1",26,115
1750,"0,1,8,2,112,1",23,115
1751,"0,1,8,2,113,1",22,115
1752,"0,1,8,1,162,1",21,115
1753,"2,1,226,1",16,115
1754,"13,2,75,1",14,115
1755,"13,2,76,1",13,115
1756,"8,1,19,1,69,1",13,115
1757,"243,1",12,115
1758,"8,1,20,1,69,1",12,115
1759,"3,1,209,1",11,115
1760,"0,2,235,1",11,115
1761,"43,1,74,1",10,115
1762,"3,2,174,1",10,115
1763,"0,1,239,1",10,115
1764,"43,1,76,1",9,115
1765,"0,1,3,1,203,1",9,115
1766,"0,1,240,1",8,115
1767,"0,1,241,1",7,115
1768,"0,116",116,116
1769,"0,2,236,1",38,116
1770,"1,1,236,1",37,116
1771,"0,8,210,1",37,116
1772,"0,2,8,2,110,1",34,116
1773,"0,2,8,2,111,1",33,116
1774,"0,5,224,1",31,116
1775,"0,5,225,1",30,116
1776,"0,2,237,1",28,116
1777,"0,2,238,1",27,116
1778,"244,1",24,116
1779,"0,2,8,2,113,1",23,116
1780,"245,1",22,116
1781,"247,1",21,116
1782,"246,1",21,116
1783,"8,1,166,1",20,116
1784,"8,1,167,1",19,116
1785,"248,1",18,116
1786,"13,1,150,1",17,116
1787,"5,1,187,1",17,116
1788,"13,1,151,1",16,116
1789,"2,1,228,1",15,116
1790,"249,1",14,116
1791,"0,1,8,1,19,1,69,1",14,116
1792,"0,1,8,1,20,1,69,1",13,116
1793,"250,1",12,116
1794,"0,1,3,1,209,1",12,116
